Preset and Sample Listing for MODULA KONTROL 7-Performance.exb
Sun Jul 19 11:15:56 2026

Presets

Number  	Bank:Prog   	Name                              	Category
000     	000:000     	syn:Vintage                       	Synthesizer
001     	000:001     	syn:Metasynth2                    	Synthesizer
002     	000:002     	syn:SEM                           	Synthesizer
003     	000:003     	syn:Airscopix                     	Synthesizer
004     	000:004     	syn:OB Glider                     	Synthesizer
005     	000:005     	syn:Analogic                      	Synthesizer
006     	000:006     	syn:Back at U                     	Synthesizer
007     	000:007     	syn:Synth Stack                   	Synthesizer
008     	000:008     	syn:OB-Xa                         	Synthesizer
009     	000:009     	syn:Wide OB                       	Synthesizer
010     	000:010     	syn:P10                           	Synthesizer
011     	000:011     	syn:Juno                          	Synthesizer
012     	000:012     	syn:Rogue                         	Synthesizer
013     	000:013     	syn:Huge SEM                      	Synthesizer
014     	000:014     	syn:Round Mini                    	Synthesizer
015     	000:015     	syn:Big Mini                      	Synthesizer
016     	000:016     	syn:Juno Pulse                    	Synthesizer
017     	000:017     	syn:10101                         	Synthesizer
018     	000:018     	syn:Profit/Loss                   	Synthesizer
019     	000:019     	syn:FuzzBell                      	Synthesizer
020     	000:020     	syn:Random OB                     	Synthesizer
021     	000:021     	syn:Phase1Alert                   	Synthesizer
022     	000:022     	syn:JX Oct Split                  	Synthesizer
023     	000:023     	syn:JunoOctSplit                  	Synthesizer
024     	000:024     	syn:Syrupy JP                     	Synthesizer
025     	000:025     	syn:ProphetPiano                  	Synthesizer
026     	000:026     	syn:ArpClarinet                   	Synthesizer
027     	000:027     	syn:JupyPad                       	Synthesizer
028     	000:028     	syn:MoogShrtPuls                  	Synthesizer
029     	000:029     	syn:Poly ARP                      	Synthesizer
030     	000:030     	syn:SEM Bat Fuzz                  	Synthesizer
031     	000:031     	syn:Juno & DX                     	Synthesizer
032     	000:032     	syn:Deep Sky                      	Synthesizer
033     	000:033     	syn:80zFuzzPad                    	Synthesizer
034     	000:034     	syn:P10 SkySweep                  	Synthesizer
035     	000:035     	syn:Nephilim                      	Synthesizer
036     	000:036     	syn:P5 PolySync                   	Synthesizer
037     	000:037     	syn:OB Glider2                    	Synthesizer
038     	000:038     	syn:Power Juno                    	Synthesizer
039     	000:039     	syn:OBSEMFuzz1                    	Synthesizer
040     	000:040     	syn:OBSEMFuzz2                    	Synthesizer
041     	000:041     	syn:Vin Syn                       	Synthesizer
042     	000:042     	syn:Regbit                        	Synthesizer
043     	000:043     	syn:Stabber                       	Synthesizer
044     	000:044     	syn:Distant                       	Synthesizer
045     	000:045     	syn:Synth Ringer                  	Synthesizer
046     	000:046     	syn:Late 80z                      	Synthesizer
047     	000:047     	syn:Late 80z 2                    	Synthesizer
048     	000:048     	syn:NoteOffChime                  	Synthesizer
049     	000:049     	syn:Nunzio                        	Synthesizer
050     	000:050     	syn:FiltrBrass1                   	Synthesizer
051     	000:051     	syn:FiltrBrass2                   	Synthesizer
052     	000:052     	syn:Robot ca1960                  	Synthesizer
053     	000:053     	syn:Glass Pipe                    	Synthesizer
054     	000:054     	syn:Merlot                        	Synthesizer
055     	000:055     	syn:AirCommand                    	Synthesizer
056     	000:056     	syn:Ex-plorer                     	Synthesizer
057     	000:057     	syn:Sneaker Flap                  	Synthesizer
058     	000:058     	syn:Poly Mono                     	Synthesizer
059     	000:059     	syn:Angel Eyes                    	Synthesizer
060     	000:060     	syn:Little                        	Synthesizer
061     	000:061     	syn:Lush                          	Synthesizer
062     	000:062     	syn:OBeast Sync                   	Synthesizer
063     	000:063     	syn:ArmyOJunos                    	Synthesizer
064     	000:064     	syn:OB Saw Octs                   	Synthesizer
065     	000:065     	syn:Wall O Saws                   	Synthesizer
066     	000:066     	syn:Shade Pad                     	Synthesizer
067     	000:067     	syn:TouchRez                      	Synthesizer
068     	000:068     	syn:X Tron                        	Synthesizer
069     	000:069     	syn:NightTime                     	Synthesizer
070     	000:070     	syn:Total Recall                  	Synthesizer
071     	000:071     	syn:Ice Eyes                      	Synthesizer
072     	000:072     	syn:Enchanted                     	Synthesizer
073     	000:073     	syn:Chimelope                     	Synthesizer
074     	000:074     	syn:S&Holding                     	Synthesizer
075     	000:075     	syn:Runner                        	Synthesizer
076     	000:076     	syn:Weild 5ths                    	Synthesizer
077     	000:077     	syn:Perc Rouge                    	Synthesizer
078     	000:078     	syn:MiniSaw Octs                  	Synthesizer
079     	000:079     	syn:ProFive Octs                  	Synthesizer
080     	000:080     	syn:Arp Octs                      	Synthesizer
081     	000:081     	syn:Modular Octs                  	Synthesizer
082     	000:082     	syn:Mucho Octs                    	Synthesizer
083     	000:083     	syn:RogueSawOcts                  	Synthesizer
084     	000:084     	syn:SySaPhUs                      	Synthesizer
085     	000:085     	syn:P5 Sync 1                     	Synthesizer
086     	000:086     	syn:P5 Sync 2                     	Synthesizer
087     	000:087     	syn:P5 Sync 3                     	Synthesizer
088     	000:088     	syn:Morpheus                      	Synthesizer
089     	000:089     	syn:Synphonix 1                   	Synthesizer
090     	000:090     	syn:Synphonix 2                   	Synthesizer
091     	000:091     	syn:KotoRize                      	Synthesizer
092     	000:092     	syn:Arp Axxe                      	Synthesizer
093     	000:093     	syn:Sin Brass                     	Synthesizer
094     	000:094     	syn:Megasync                      	Synthesizer
095     	000:095     	syn:Sawphony                      	Synthesizer
096     	000:096     	syn:AnalogBell                    	Synthesizer
097     	000:097     	syn:D Fiftease                    	Synthesizer
098     	000:098     	syn:VS Ghost                      	Synthesizer
099     	000:099     	syn:Now & Zen                     	Synthesizer
100     	000:100     	syn:Metasynth1                    	Synthesizer
101     	000:101     	Copy of syn:Metasynth2            	Synthesizer
102     	000:102     	Copy of syn:SEM                   	Synthesizer
103     	000:103     	Copy of syn:Airscopix             	Synthesizer
104     	000:104     	Copy of syn:OB Glider             	Synthesizer
105     	000:105     	Copy of syn:Analogic              	Synthesizer
106     	000:106     	Copy of syn:Back at U             	Synthesizer
107     	000:107     	Copy of syn:OB-Xa                 	Synthesizer
108     	000:108     	Copy of syn:Wide OB               	Synthesizer
109     	000:109     	Copy of syn:P10                   	Synthesizer
110     	000:110     	syn:Plucky 2                      	Synth
111     	000:111     	Copy of syn:Plucky                	Synth
112     	000:112     	Copy of syn:Random OB             	Synthesizer
114     	000:114     	Shallow Swamp                     	Strings
128     	001:000     	bas:Big Taurus                    	Bass
129     	001:001     	bas:Big FM Bass                   	Bass
130     	001:002     	bas:Bottom 101                    	Bass
131     	001:003     	bas:Warm SEM                      	Bass
132     	001:004     	bas:Arpy Bass                     	Bass
133     	001:005     	bas:Mini Snap 2                   	Bass
134     	001:006     	bas:Arp Snap                      	Bass
135     	001:007     	bas:BigSnap                       	Bass
136     	001:008     	bas:FatFingers                    	Bass
137     	001:009     	bas:Deep End 1                    	Bass
138     	001:010     	bas:Deep End 2                    	Bass
139     	001:011     	bas:Wide & Deep                   	Bass
140     	001:012     	bas:ThiklySettld                  	Bass
141     	001:013     	bas:VintSynBass1                  	Bass
142     	001:014     	bas:MurkySweep                    	Bass
143     	001:015     	bas:LayerBass                     	Bass
144     	001:016     	bas:Expressive                    	Bass
145     	001:017     	bas:Taurnado                      	Bass
146     	001:018     	bas:Picote                        	Bass
147     	001:019     	bas:Finger                        	Bass
148     	001:020     	bas:Pilot                         	Bass
